,octahedral,trigonal-prismatic
,0.15571242609535213,0.7662391323854955
,0.1540171231475058,0.7659435820994295
,0.1524519328636641,0.7658429277326163
,0.15125542961724545,0.7659063282081289
,0.1505773409319136,0.7660776614127549
,0.15042656866947884,0.7662881072425123
,0.15067351248636482,0.766459969748713
,0.15111256592309966,0.7665245496155948
,0.1515620757795546,0.7664668286509146
,0.1519618492904505,0.7663560530813994
,0.15241076785225677,0.7663189287230221
,0.1530920476673145,0.7664571209245863
,0.1541652413137175,0.7668068522506072
,0.15571171513418514,0.7673619680025167
,0.15773194154597295,0.7681091068955869
