Atome,Numéro de l'atome,Frame
O,1,0
O,4,0
O,7,0
O,10,0
O,13,0
O,16,0
O,1,1
O,4,1
O,7,1
O,10,1
O,13,1
O,16,1
O,1,2
O,4,2
O,7,2
O,10,2
O,13,2
O,16,2
O,1,3
O,4,3
O,7,3
O,10,3
O,13,3
O,16,3
O,1,4
O,4,4
O,7,4
O,10,4
O,13,4
O,16,4
O,1,5
O,4,5
O,7,5
O,10,5
O,13,5
O,16,5
O,1,6
O,4,6
O,7,6
O,10,6
O,13,6
O,16,6
O,1,7
O,4,7
O,7,7
O,10,7
O,13,7
O,16,7
O,1,8
O,4,8
O,7,8
O,10,8
O,13,8
O,16,8
O,1,9
O,4,9
O,7,9
O,10,9
O,13,9
O,16,9
O,1,10
O,4,10
O,7,10
O,10,10
O,13,10
O,16,10
O,1,11
O,4,11
O,7,11
O,10,11
O,13,11
O,16,11
O,1,12
O,4,12
O,7,12
O,10,12
O,13,12
O,16,12
O,1,13
O,4,13
O,7,13
O,10,13
O,13,13
O,16,13
O,1,14
O,4,14
O,7,14
O,10,14
O,13,14
O,16,14
