octahedral,trigonal-prismatic
Avg: 0.152,Avg: 0.767
StdDev: 0.002,StdDev: 0.001
0.15526858310418956,0.7663216762422832
0.1535711662606873,0.7660267384488214
0.15200423704792143,0.7659267610895475
0.15080630417539798,0.7659907137463396
0.15012665569970532,0.7661622632140871
0.14997367156983532,0.7663724544198964
0.1502174193483062,0.766543583745898
0.150652221933395,0.7666070497049104
0.15109663424448333,0.7665479913627006
0.15149092324575766,0.7664358114222192
0.15193462012994946,0.766397320552643
0.1526116933137802,0.7665342390390654
0.1536822686672207,0.7668828015397541
0.15522762827448872,0.7674367777721744
0.15724743597846294,0.7681826423300542
